,county,year,area (HA),production (MT),yield (MT/HA),crop
337,Mombasa,2012,,451.0,0.45,maize
338,Murang'a,2012,,,0.89,maize
339,Nairobi ,2012,,852.0,0.84,maize
340,Nakuru,2012,,,3.33,maize
341,Nandi,2012,,,2.96,maize
342,Narok,2012,,,1.68,maize
343,Nyamira,2012,,,1.78,maize
344,Nyandarua,2012,,,1.4,maize
345,Nyeri,2012,,,0.78,maize
346,Samburu,2012,,,0.83,maize
347,Siaya,2012,,,1.28,maize
348,Taita/Taveta,2012,,,0.37,maize
349,Tana River,2012,,,0.85,maize
350,Tharaka-Nthi,2012,,,1.43,maize
351,Trans Nzoia,2012,,,4.14,maize
352,Turkana,2012,,,1.57,maize
353,Uasin Gishu,2012,,,2.82,maize
354,Vihiga,2012,,,1.55,maize
355,Wajir,2012,268.0,191.0,0.71,maize
356,West Pokot,2012,,,3.35,maize
357,Baringo,2013,,,1.92,maize
358,Bomet,2013,,,2.36,maize
359,Bungoma,2013,,,2.39,maize
360,Busia,2013,,,1.38,maize
361,Elgeyo/Marakwet,2013,,,3.17,maize
362,Embu,2013,,,1.31,maize
363,Garissa,2013,205.0,199.0,0.97,maize
364,Homabay,2013,,,1.48,maize
365,Isiolo,2013,,,1.06,maize
366,Kajiado,2013,,,1.83,maize
367,Kakamega,2013,,,2.35,maize
368,Kericho,2013,,,1.94,maize
369,Kiambu,2013,,,0.5,maize
370,Kilifi,2013,647.0,310.0,0.48,maize
371,Kirinyaga,2013,,,1.2,maize
372,Kisii,2013,,,2.06,maize
373,Kisumu,2013,,,1.92,maize
374,Kitui,2013,,,0.4,maize
375,Kwale,2013,,,0.33,maize
376,Laikipia,2013,,,0.88,maize
377,Lamu,2013,,,1.58,maize
378,Machakos,2013,,,0.69,maize
379,Makueni,2013,,,0.45,maize
380,Mandera,2013,,,0.67,maize
381,Marsabit,2013,990.0,987.0,1.0,maize
382,Meru,2013,,,0.97,maize
383,Migori,2013,,,0.77,maize
384,Mombasa,2013,,406.0,0.41,maize
385,Murang'a,2013,,,0.93,maize
386,Nairobi ,2013,,802.0,0.79,maize
387,Nakuru,2013,,,2.55,maize
388,Nandi,2013,,,2.41,maize
389,Narok,2013,,,2.77,maize
390,Nyamira,2013,,,1.17,maize
391,Nyandarua,2013,,,1.5,maize
392,Nyeri,2013,,,0.78,maize
393,Samburu,2013,,,1.3,maize
394,Siaya,2013,,,1.61,maize
395,Taita/Taveta,2013,,,1.07,maize
396,Tana River,2013,,,1.15,maize
397,Tharaka-Nthi,2013,,,0.82,maize
398,Trans Nzoia,2013,,,4.04,maize
399,Turkana,2013,,,1.87,maize
400,Uasin Gishu,2013,,,4.09,maize
401,Vihiga,2013,,,1.5,maize
402,Wajir,2013,550.0,375.0,0.68,maize
403,West Pokot,2013,,,2.82,maize
404,Baringo,2014,,,1.0,maize
405,Bomet,2014,,,1.72,maize
406,Bungoma,2014,,,2.73,maize
407,Busia,2014,,,1.44,maize
408,Elgeyo/Marakwet,2014,,,3.75,maize
409,Embu,2014,,,1.0,maize
410,Garissa,2014,245.0,199.0,0.81,maize
411,Homabay,2014,,,1.56,maize
412,Isiolo,2014,,657.0,0.47,maize
413,Kajiado,2014,,,2.37,maize
414,Kakamega,2014,,,2.57,maize
415,Kericho,2014,,,1.68,maize
416,Kiambu,2014,,,0.3,maize
417,Kilifi,2014,653.0,300.0,0.46,maize
418,Kirinyaga,2014,,,1.13,maize
419,Kisii,2014,,,1.92,maize
420,Kisumu,2014,,,2.01,maize
421,Kitui,2014,,,0.36,maize
422,Kwale,2014,,,0.91,maize
423,Laikipia,2014,,,1.05,maize
424,Lamu,2014,,,1.01,maize
425,Machakos,2014,,,0.45,maize
426,Makueni,2014,,,0.43,maize
427,Mandera,2014,,,0.6,maize
428,Marsabit,2014,,,1.01,maize
429,Meru,2014,,,1.01,maize
430,Migori,2014,,,1.24,maize
431,Mombasa,2014,653.0,338.0,0.52,maize
432,Murang'a,2014,,,0.85,maize
433,Nairobi ,2014,913.0,740.0,0.81,maize
434,Nakuru,2014,,,1.84,maize
435,Nandi,2014,,,2.26,maize
436,Narok,2014,,,2.39,maize
437,Nyamira,2014,,,1.16,maize
438,Nyandarua,2014,,,1.26,maize
439,Nyeri,2014,,,0.72,maize
440,Samburu,2014,,,1.05,maize
441,Siaya,2014,,,1.58,maize
442,Taita/Taveta,2014,653.0,823.0,1.26,maize
443,Tana River,2014,,,1.19,maize
444,Tharaka-Nthi,2014,,,0.85,maize
445,Trans Nzoia,2014,,,4.23,maize
446,Turkana,2014,,,1.64,maize
447,Uasin Gishu,2014,,,3.93,maize
448,Vihiga,2014,,,1.54,maize
449,Wajir,2014,660.0,112.0,0.17,maize
450,West Pokot,2014,,,2.35,maize
451,Baringo,2015,,,1.89,maize
452,Bomet,2015,,,1.08,maize
453,Bungoma,2015,,,2.67,maize
454,Busia,2015,,,1.7,maize
455,Elgeyo/Marakwet,2015,,,2.32,maize
456,Embu,2015,,,1.27,maize
457,Garissa,2015,248.0,216.0,0.87,maize
458,Homabay,2015,,,1.64,maize
459,Isiolo,2015,,,1.21,maize
460,Kajiado,2015,,,0.53,maize
461,Kakamega,2015,,,2.86,maize
462,Kericho,2015,,,2.16,maize
463,Kiambu,2015,,,1.75,maize
464,Kilifi,2015,,,1.17,maize
465,Kirinyaga,2015,,,1.54,maize
466,Kisii,2015,,,1.32,maize
467,Kisumu,2015,,,1.21,maize
468,Kitui,2015,,,0.55,maize
469,Kwale,2015,,,1.24,maize
470,Laikipia,2015,,,1.39,maize
471,Lamu,2015,,,2.14,maize
472,Machakos,2015,,,0.97,maize
473,Makueni,2015,,,1.02,maize
474,Mandera,2015,788.0,278.0,0.35,maize
475,Marsabit,2015,631.0,646.0,1.02,maize
476,Meru,2015,,,1.16,maize
477,Migori,2015,,,2.28,maize
478,Mombasa,2015,672.0,522.0,0.78,maize
479,Murang'a,2015,,,1.1,maize
480,Nairobi ,2015,919.0,,1.26,maize
481,Nakuru,2015,,,1.57,maize
482,Nandi,2015,,,2.8,maize
483,Narok,2015,,,1.61,maize
484,Nyamira,2015,,,1.5,maize
485,Nyandarua,2015,,,1.48,maize
486,Nyeri,2015,,,1.32,maize
487,Samburu,2015,,724.0,0.19,maize
488,Siaya,2015,,,1.63,maize
489,Taita/Taveta,2015,,,0.74,maize
490,Tana River,2015,,,1.18,maize
491,Tharaka-Nthi,2015,,,1.39,maize
492,Trans Nzoia,2015,,,3.87,maize
493,Turkana,2015,,,0.63,maize
494,Uasin Gishu,2015,,,3.89,maize
495,Vihiga,2015,,,1.25,maize
496,Wajir,2015,84.0,38.0,0.45,maize
497,West Pokot,2015,,,1.82,maize
498,Baringo,2016,,,2.19,maize
499,Bomet,2016,,,1.41,maize
500,Bungoma,2016,,,2.99,maize
501,Busia,2016,,,0.95,maize
502,Elgeyo/Marakwet,2016,,,2.25,maize
503,Embu,2016,,,0.65,maize
504,Garissa,2016,167.0,152.0,0.91,maize
505,Homabay,2016,,,1.15,maize
506,Isiolo,2016,708.0,475.0,0.67,maize
507,Kajiado,2016,,,0.34,maize
508,Kakamega,2016,,,2.2,maize
509,Kericho,2016,,,2.41,maize
510,Kiambu,2016,,,1.41,maize
511,Kilifi,2016,,,0.42,maize
512,Kirinyaga,2016,,,0.87,maize
